campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C747,-31.51033167,115.5872167,9/04/2021,10:48:17,Two Rocks,Perth,Moderate,Bottom,0,100,2.823529412,0.386952995,0,11,6,0,0,3,29,49
2021-04_FRDC_BOSS,C741,-31.503385,115.5687783,9/04/2021,10:59:53,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,52,0,2,0,0,7,61
2021-04_FRDC_BOSS,C726,-31.51470333,115.568525,9/04/2021,11:09:45,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,64,0,0,0,0,0,64
2021-04_FRDC_BOSS,C703,-31.52900333,115.5784283,9/04/2021,11:21:09,Two Rocks,Perth,Moderate,Bottom,0,100,0.243902439,0.434769353,0,7,0,0,0,48,0,55
2021-04_FRDC_BOSS,C731,-31.53722333,115.5718517,9/04/2021,11:31:00,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,47,0,0,0,0,20,67
2021-04_FRDC_BOSS,C742,-31.533715,115.5570117,9/04/2021,11:41:49,Two Rocks,Perth,Good,Bottom,0,100,0.025,0.158113883,0,0,0,0,0,71,0,71
2021-04_FRDC_BOSS,C755,-31.52319667,115.5452917,9/04/2021,11:51:55,Two Rocks,Perth,Moderate,Bottom,1.315789474,98.68421053,3.054545455,0.229183884,5,60,0,0,0,0,2,67
2021-04_FRDC_BOSS,C707,-31.529715,115.5293633,9/04/2021,12:04:46,Two Rocks,Perth,Moderate,Bottom,0,100,1.175,0.957761814,0,18,0,0,0,43,1,62
2021-04_FRDC_BOSS,C735,-31.5206,115.5243133,9/04/2021,12:14:24,Two Rocks,Perth,Good,Bottom,1.25,98.75,1.073170732,0.411718587,0,23,0,0,0,31,2,56
2021-04_FRDC_BOSS,C719,-31.51525667,115.5254383,9/04/2021,12:22:35,Two Rocks,Perth,Poor,Bottom,0,100,1,0,0,5,0,0,0,63,0,68
2021-04_FRDC_BOSS,C739,-31.515455,115.5342567,9/04/2021,12:31:35,Two Rocks,Perth,Good,Bottom,0,100,3,0,0,74,0,0,0,0,0,74
2021-04_FRDC_BOSS,C709,-31.50301333,115.5411833,9/04/2021,12:41:51,Two Rocks,Perth,Good,Bottom,0,100,0.9,0.632455532,0,13,0,0,0,51,0,64
2021-04_FRDC_BOSS,C721,-31.49971,115.5352067,9/04/2021,12:50:00,Two Rocks,Perth,Good,Bottom,1.234567901,98.7654321,0,0,0,0,0,0,0,76,1,77
2021-04_FRDC_BOSS,C713,-31.49556,115.557625,9/04/2021,13:02:04,Two Rocks,Perth,Moderate,Bottom,0,100,1.974358974,1.1352528,5,11,0,0,0,37,6,59
2021-04_FRDC_BOSS,C725,-31.48859,115.561305,9/04/2021,13:10:33,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,18,21,0,0,0,17,56
2021-04_FRDC_BOSS,C702,-31.48340167,115.5683167,9/04/2021,13:18:53,Two Rocks,Perth,Moderate,Bottom,0,100,1.15,1.166849802,0,12,0,0,0,37,13,62
2021-04_FRDC_BOSS,C730,-31.48399333,115.5715617,9/04/2021,13:26:41,Two Rocks,Perth,Moderate,Bottom,0,100,0.2,0.410391341,0,1,0,0,0,51,0,52
2021-04_FRDC_BOSS,C757,-31.46927833,115.5570783,9/04/2021,13:38:37,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,68,0,0,0,0,0,68
2021-04_FRDC_BOSS,C746,-31.46683833,115.54673,9/04/2021,13:49:11,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,1,36,0,0,0,0,22,59
2021-04_FRDC_BOSS,C753,-31.46375167,115.5608983,9/04/2021,14:00:09,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,2,32,0,0,0,32,66
2021-04_FRDC_BOSS,C737,-31.461055,115.558585,9/04/2021,14:08:11,Two Rocks,Perth,Poor,Bottom,0,100,NA,NA,0,0,0,0,0,16,35,51
2021-04_FRDC_BOSS,C706,-31.45829333,115.5481433,9/04/2021,14:17:30,Two Rocks,Perth,Poor,Bottom,0,100,2.418604651,0.731357451,0,0,50,0,0,7,7,64
2021-04_FRDC_BOSS,C718,-31.44883667,115.5312767,9/04/2021,14:28:39,Two Rocks,Perth,Moderate,Bottom,0,100,2.418604651,0.731357451,0,44,0,0,0,20,6,70
2021-04_FRDC_BOSS,C734,-31.46276667,115.5218417,9/04/2021,14:41:31,Two Rocks,Perth,Moderate,Bottom,0,100,2.066666667,1.303840481,0,37,0,6,0,27,0,70
2021-04_FRDC_BOSS,C750,-31.467885,115.51719,9/04/2021,14:50:25,Two Rocks,Perth,Moderate,Bottom,0,100,3.25,0.43643578,0,74,0,0,0,0,2,76
2021-04_FRDC_BOSS,C701,-31.47251,115.5302217,9/04/2021,15:00:50,Two Rocks,Perth,Good,Bottom,0,100,0.05,0.220721428,0,0,0,0,0,63,0,63
2021-04_FRDC_BOSS,C705,-31.47656167,115.5308933,9/04/2021,15:09:49,Two Rocks,Perth,Moderate,Bottom,1.25,98.75,3,0,0,39,0,0,0,0,8,47
2021-04_FRDC_BOSS,C745,-31.48099667,115.5329183,9/04/2021,15:17:46,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,65,0,0,0,0,0,65
2021-04_FRDC_BOSS,C715,-31.478775,115.5111017,9/04/2021,15:29:19,Two Rocks,Perth,Moderate,Bottom,0,100,0.80952381,0.916996562,0,3,0,0,0,65,9,77
2021-04_FRDC_BOSS,C729,-31.484735,115.5177417,9/04/2021,15:38:10,Two Rocks,Perth,Moderate,Bottom,0,100,3,0,0,36,0,0,0,0,11,47
2021-04_FRDC_BOSS,C733,-31.49068167,115.5116317,9/04/2021,15:47:38,Two Rocks,Perth,Moderate,Bottom,0,100,0.933333333,0.253708132,0,13,0,0,0,37,0,50
2021-04_FRDC_BOSS,C727,-31.49454,115.5038817,9/04/2021,15:57:51,Two Rocks,Perth,Moderate,Bottom,0,100,2.1,0.758855763,0,31,0,0,0,10,3,44
2021-04_FRDC_BOSS,C717,-31.50036667,115.5157517,9/04/2021,16:08:12,Two Rocks,Perth,Moderate,Bottom,0,100,0.133333333,0.345745904,0,0,0,0,0,66,0,66
2021-04_FRDC_BOSS,C749,-31.49722,115.5385983,9/04/2021,16:20:57,Two Rocks,Perth,Moderate,Bottom,1.666666667,98.33333333,1.333333333,1.028334218,0,25,0,0,0,22,2,49
2021-04_FRDC_BOSS,C844,-31.10292833,115.3385367,10/04/2021,7:06:52,Lancelin,NA,Good,Top,0,100,2.803278689,0.54220759,0,69,0,0,0,0,3,72
2021-04_FRDC_BOSS,C821,-31.09676667,115.3312033,10/04/2021,7:16:17,Lancelin,NA,Good,Top,0,100,3,0,0,72,0,0,0,0,3,75
2021-04_FRDC_BOSS,C860,-31.092555,115.3248317,10/04/2021,7:24:17,Lancelin,NA,Good,Top,0,100,3,0,0,71,0,0,0,0,0,71
2021-04_FRDC_BOSS,C836,-31.08121833,115.3101617,10/04/2021,7:36:51,Lancelin,NA,Moderate,Top,0,100,2.98,0.141421356,0,66,0,0,0,1,13,80
2021-04_FRDC_BOSS,C841,-31.06847167,115.3153183,10/04/2021,7:47:56,Lancelin,NA,Good,Top,0,100,0,0,0,0,0,0,0,71,0,71
2021-04_FRDC_BOSS,C856,-31.047195,115.30472,10/04/2021,8:03:00,Lancelin,NA,Good,Top,0,100,0.866666667,0.342803332,0,13,0,0,0,48,19,80
2021-04_FRDC_BOSS,C852,-31.03603,115.2965117,10/04/2021,8:13:40,Lancelin,NA,Good,Top,0,100,0.096153846,0.297678296,0,10,0,0,0,66,0,76
2021-04_FRDC_BOSS,C840,-31.02772333,115.2818633,10/04/2021,8:26:34,Lancelin,NA,Moderate,Top,0,100,2.882352941,0.431140758,0,65,0,1,0,1,5,72
2021-04_FRDC_BOSS,C809,-31.02825167,115.29123,10/04/2021,8:39:07,Lancelin,NA,Moderate,Top,0,100,1.88,0.328260723,0,52,0,0,0,13,10,75
2021-04_FRDC_BOSS,C824,-31.03139333,115.3015783,10/04/2021,8:51:33,Lancelin,NA,Moderate,Top,0,100,0.314814815,0.772745023,0,1,0,0,0,78,0,79
2021-04_FRDC_BOSS,C845,-31.04238,115.3196483,10/04/2021,9:08:45,Lancelin,NA,Moderate,Top,0,100,2.94,0.239897937,0,72,0,0,0,3,0,75
2021-04_FRDC_BOSS,C857,-31.06628333,115.3314983,10/04/2021,9:20:45,Lancelin,NA,Moderate,Top,0,100,2.5,0.92973479,0,70,0,0,0,0,4,74
2021-04_FRDC_BOSS,C833,-31.08288667,115.3407883,10/04/2021,9:39:54,Lancelin,NA,Moderate,Top,0,100,2.977777778,0.149071198,0,65,0,0,0,0,9,74
2021-04_FRDC_BOSS,C849,-31.09109167,115.3512467,10/04/2021,9:53:21,Lancelin,NA,Moderate,Top,0,100,0,0,0,0,0,0,0,80,0,80
2021-04_FRDC_BOSS,C828,-31.096465,115.3556117,10/04/2021,10:03:43,Lancelin,NA,Moderate,Top,0,100,0.15,0.361620285,0,0,0,0,0,73,7,80
2021-04_FRDC_BOSS,C818,-31.10539167,115.36752,10/04/2021,10:21:36,Lancelin,NA,Poor,Top,0,100,3,0,0,0,32,0,0,0,10,42
2021-04_FRDC_BOSS,C806,-31.08655333,115.3583333,10/04/2021,13:39:50,Lancelin,NA,Moderate,Top,0,100,3,0,0,53,0,0,0,0,7,60
2021-04_FRDC_BOSS,C853,-31.06768333,115.345955,10/04/2021,10:58:08,Lancelin,NA,Poor,Top,1.25,98.75,2.9375,0.245934688,0,24,5,0,0,0,30,59
2021-04_FRDC_BOSS,C814,-31.05439667,115.3356133,10/04/2021,11:11:07,Lancelin,NA,Moderate,Top,0,100,2.386363636,0.920462702,1,63,0,0,0,2,0,66
2021-04_FRDC_BOSS,C810,-31.05027653,115.3363025,10/04/2021,11:18:57,Lancelin,NA,Moderate,Top,0,100,3,0,0,57,0,0,0,0,7,64
